Description,Repeat_Customers,Unique_Customers,Repeat_Rate,Repeat_Product_Flag
"LETTER ""E"" BLING KEY RING",0,7,0,0
"LETTER ""F"" BLING KEY RING",0,4,0,0
"LETTER ""G"" BLING KEY RING",0,7,0,0
"LETTER ""H"" BLING KEY RING",0,6,0,0
"LETTER ""I"" BLING KEY RING",0,4,0,0
"LETTER ""J"" BLING KEY RING",0,3,0,0
"LETTER ""K"" BLING KEY RING",0,6,0,0
"LETTER ""L"" BLING KEY RING",0,6,0,0
"LETTER ""M"" BLING KEY RING",0,3,0,0
"LETTER ""N"" BLING KEY RING",0,5,0,0
"LETTER ""O"" BLING KEY RING",0,2,0,0
"LETTER ""P"" BLING KEY RING",0,6,0,0
"LETTER ""R"" BLING KEY RING",0,4,0,0
"LETTER ""S"" BLING KEY RING",0,7,0,0
"LETTER ""T"" BLING KEY RING",0,2,0,0
"LETTER ""U"" BLING KEY RING",0,2,0,0
"LETTER ""V"" BLING KEY RING",0,2,0,0
"LETTER ""W"" BLING KEY RING",0,2,0,0
"LETTER ""Y"" BLING KEY RING",0,4,0,0
"LETTER ""Z"" BLING KEY RING",0,2,0,0
LETTER HOLDER HOME SWEET HOME,5,72,0.0694,1
LETTER SHAPE PENCIL SHARPENER,2,22,0.0909,1
LIGHT DECORATION BATTERY OPERATED,0,1,0,0
LIGHT GARLAND BUTTERFILES PINK,6,55,0.1091,1
LILAC DIAMANTE PEN IN GIFT BOX,0,4,0,0
LILY BROOCH AMETHYST COLOUR,0,5,0,0
LILY BROOCH OLIVE COLOUR,0,3,0,0
LIPSTICK PEN BABY PINK,3,51,0.0588,1
LIPSTICK PEN FUSCHIA,4,62,0.0645,1
LIPSTICK PEN RED,7,85,0.0824,1
LITTLE GREEN MONSTER SOFT TOY,0,2,0,0
LITTLE PINK MONSTER SOFT TOY,0,2,0,0
LOCAL CAFE MUG,2,32,0.0625,1
LOLITA DESIGN COTTON TOTE BAG,1,10,0.1,1
LONDON BUS COFFEE MUG,6,92,0.0652,1
LOVE BUILDING BLOCK WORD,9,115,0.0783,1
LOVE GARLAND PAINTED ZINC,1,6,0.1667,1
LOVE HEART POCKET WARMER,3,33,0.0909,1
LOVE HEART SOCK HANGER,0,3,0,0
LOVE HEART TRINKET POT,4,56,0.0714,1
LOVE HOT WATER BOTTLE,58,350,0.1657,1
LOVE SEAT ANTIQUE WHITE METAL,2,8,0.25,1
LOVEBIRD HANGING DECORATION WHITE,8,90,0.0889,1
LOVELY BONBON STICKER SHEET,0,7,0,0
LUNCH BAG ALPHABET DESIGN,20,193,0.1036,1
LUNCH BAG APPLE DESIGN,29,221,0.1312,1
LUNCH BAG BLACK SKULL.,48,272,0.1765,1
LUNCH BAG CARS BLUE,35,223,0.157,1
LUNCH BAG DOILEY PATTERN,0,2,0,0
LUNCH BAG DOLLY GIRL DESIGN,16,160,0.1,1
LUNCH BAG PAISLEY PARK,66,418,0.1579,1
LUNCH BAG PINK POLKADOT,33,201,0.1642,1
LUNCH BAG RED RETROSPOT,43,286,0.1503,1
LUNCH BAG RED VINTAGE DOILY,18,186,0.0968,1
LUNCH BAG SPACEBOY DESIGN,39,272,0.1434,1
LUNCH BAG SUKI DESIGN,40,242,0.1653,1
LUNCH BAG VINTAGE DOILY,51,319,0.1599,1
LUNCH BAG VINTAGE LEAF DESIGN,22,166,0.1325,1
LUNCH BAG WOODLAND,23,176,0.1307,1
LUNCH BOX I LOVE LONDON,13,111,0.1171,1
LUNCH BOX WITH CUTLERY RETROSPOT,11,79,0.1392,1
MADRAS NOTEBOOK MEDIUM,5,46,0.1087,1
MAGAZINE RACK GEBRA ASSORTED,0,8,0,0
MAGIC DRAWING SLATE BAKE A CAKE,0,45,0,0
MAGIC DRAWING SLATE BUNNIES,3,57,0.0526,1
MAGIC DRAWING SLATE CIRCUS PARADE,8,78,0.1026,1
MAGIC DRAWING SLATE DINOSAUR,4,74,0.0541,1
MAGIC DRAWING SLATE DOLLY GIRL,8,94,0.0851,1
MAGIC DRAWING SLATE GO TO THE FAIR,2,34,0.0588,1
MAGIC DRAWING SLATE LEAP FROG,1,36,0.0278,1
MAGIC DRAWING SLATE PURDEY,5,68,0.0735,1
MAGIC DRAWING SLATE SPACEBOY,5,109,0.0459,1
MAGIC GARDEN FELT GARLAND,1,13,0.0769,1
MAGIC SHEEP WOOL GROWING FROM PAPER,8,82,0.0976,1
MAGIC TREE -PAPER FLOWERS,7,59,0.1186,1
MAGNETS PACK OF 4 CHILDHOOD MEMORY,0,13,0,0
MAGNETS PACK OF 4 HOME SWEET HOME,3,78,0.0385,1
MAGNETS PACK OF 4 RETRO PHOTO,4,45,0.0889,1
MAGNETS PACK OF 4 SWALLOWS,9,103,0.0874,1
MAGNETS PACK OF 4 VINTAGE COLLAGE,9,69,0.1304,1
MAGNETS PACK OF 4 VINTAGE LABELS,1,36,0.0278,1
MAKE YOUR OWN FLOWERPOWER CARD KIT,6,68,0.0882,1
MAKE YOUR OWN MONSOON CARD KIT,3,79,0.038,1
MAKE YOUR OWN PLAYTIME CARD KIT,2,48,0.0417,1
MAN FLU METAL SIGN,2,48,0.0417,1
Manual,16,116,0.1379,1
MARIE ANTOINETTE TRINKET BOX GOLD,1,10,0.1,1
MARIE ANTOINETTE TRINKET BOX SILVER,1,7,0.1429,1
MEASURING TAPE BABUSHKA BLUE,2,20,0.1,1
MEASURING TAPE BABUSHKA PINK,1,33,0.0303,1
MEASURING TAPE BABUSHKA RED,0,15,0,0
MEDIUM CERAMIC TOP STORAGE JAR,8,76,0.1053,1
MEDIUM CHINESE STYLE SCISSOR,0,8,0,0
MEDIUM MEDINA STAMPED METAL BOWL,0,11,0,0
MEDIUM PARLOUR FRAME,0,3,0,0
MEDIUM PARLOUR PICTURE FRAME,4,56,0.0714,1
MEDIUM PINK BUDDHA HEAD,0,4,0,0
MEMO BOARD COTTAGE DESIGN,12,94,0.1277,1
MEMO BOARD RETROSPOT DESIGN,10,119,0.084,1
METAL 4 HOOK HANGER FRENCH CHATEAU,10,87,0.1149,1
METAL DECORATION NAUGHTY CHILDREN,3,38,0.0789,1
METAL MERRY CHRISTMAS WREATH,2,45,0.0444,1
METAL RABBIT LADDER EASTER,0,2,0,0
METAL SIGN CUPCAKE SINGLE HOOK,0,7,0,0
METAL SIGN DROP YOUR PANTS,17,134,0.1269,1
METAL SIGN EMPIRE TEA,7,92,0.0761,1
METAL SIGN HER DINNER IS SERVED,1,9,0.1111,1
METAL SIGN HIS DINNER IS SERVED,5,44,0.1136,1
METAL SIGN NEIGHBOURHOOD WITCH,1,20,0.05,1
METAL SIGN TAKE IT OR LEAVE IT,3,87,0.0345,1
METAL SIGN;CUPCAKE SINGLE HOOK,6,32,0.1875,1
METALIC LEAVES BAG CHARMS,1,12,0.0833,1
MIDNIGHT BLUE CRYSTAL DROP EARRINGS,0,2,0,0
MIDNIGHT BLUE VINTAGE EARRINGS,0,2,0,0
MIDNIGHT GLAMOUR SCARF KNITTING KIT,4,36,0.1111,1
MILK MAIDS MUG,3,40,0.075,1
MILK PAN BLUE POLKADOT,1,14,0.0714,1
MILK PAN RED RETROSPOT,0,51,0,0
MINI CAKE STAND HANGING STRAWBERY,3,67,0.0448,1
MINI CAKE STAND T-LIGHT HOLDER,1,6,0.1667,1
MINI CAKE STAND WITH HANGING CAKES,2,35,0.0571,1
MINI FUNKY DESIGN TAPES,0,9,0,0
MINI JIGSAW BAKE A CAKE,0,14,0,0
MINI JIGSAW BUNNIES,0,24,0,0
MINI JIGSAW CIRCUS PARADE,1,26,0.0385,1
MINI JIGSAW DINOSAUR,2,28,0.0714,1
MINI JIGSAW DOLLY GIRL,2,29,0.069,1
MINI JIGSAW GO TO THE FAIR,0,8,0,0
MINI JIGSAW LEAP FROG,0,10,0,0
MINI JIGSAW PURDEY,3,41,0.0732,1
MINI JIGSAW SPACEBOY,3,60,0.05,1
MINI LADLE LOVE HEART PINK,3,16,0.1875,1
MINI LADLE LOVE HEART RED,2,18,0.1111,1
MINI LIGHTS WOODLAND MUSHROOMS,28,266,0.1053,1
MINI PAINT SET VINTAGE,6,102,0.0588,1
MINI PAINTED GARDEN DECORATION,0,12,0,0
MINI PLAYING CARDS BUFFALO BILL,8,107,0.0748,1
MINI PLAYING CARDS DOLLY GIRL,10,116,0.0862,1
MINI PLAYING CARDS FUN FAIR,1,58,0.0172,1
MINI PLAYING CARDS GYMKHANA,9,98,0.0918,1
MINI PLAYING CARDS SPACEBOY,10,138,0.0725,1
MINI WOODEN HAPPY BIRTHDAY GARLAND,2,29,0.069,1
MINIATURE ANTIQUE ROSE HOOK IVORY,7,99,0.0707,1
MINT DINER WALL CLOCK,3,72,0.0417,1
MINT GREEN ROSE TOWEL,0,10,0,0
MINT KITCHEN SCALES,8,120,0.0667,1
MIRROR CORNICE,0,18,0,0
MIRROR MOSAIC CANDLE PLATE,1,8,0.125,1
MIRROR MOSAIC GOBLET CANDLE HOLDER,1,4,0.25,1
MIRROR MOSAIC HURRICANE LAMP,1,7,0.1429,1
MIRROR MOSAIC T-LIGHT HOLDER,1,8,0.125,1
MIRROR MOSAIC T-LIGHT HOLDER ROUND,1,4,0.25,1
MIRROR MOSAIC VOTIVE HOLDER,1,17,0.0588,1
MIRRORED DISCO BALL,5,60,0.0833,1
MIRRORED DOVE WALL DECORATION,0,13,0,0
MIRRORED WALL ART FOXY,1,11,0.0909,1
MIRRORED WALL ART GENTS,2,18,0.1111,1
MIRRORED WALL ART LADIES,1,14,0.0714,1
MIRRORED WALL ART PHOTO FRAMES,0,4,0,0
MIRRORED WALL ART POPPIES,0,11,0,0
MIRRORED WALL ART SKULLS,0,18,0,0
MIRRORED WALL ART SNOWFLAKES,3,35,0.0857,1
MIRRORED WALL ART SPLODGES,0,6,0,0
MIRRORED WALL ART STARS,2,21,0.0952,1
MIRRORED WALL ART TABLE LAMP,1,10,0.1,1
MISTLETOE HEART WREATH CREAM,7,64,0.1094,1
MISTLETOE HEART WREATH GREEN,10,118,0.0847,1
MOBILE VINTAGE HEARTS,1,24,0.0417,1
MOCK LOBSTER FRIDGE MAGNET,0,10,0,0
MODERN FLORAL STATIONERY SET,9,111,0.0811,1
MONEY BOX BISCUITS DESIGN,0,16,0,0
MONEY BOX CONFECTIONERY DESIGN,0,12,0,0
MONEY BOX FIRST AID DESIGN,0,8,0,0
MONEY BOX HOUSEKEEPING DESIGN,0,20,0,0
MONEY BOX KINGS CHOICE DESIGN,3,37,0.0811,1
MONEY BOX POCKET MONEY DESIGN,2,27,0.0741,1
MONSTERS STENCIL CRAFT,6,98,0.0612,1
MOODY BOY DOOR HANGER,7,54,0.1296,1
MOODY GIRL DOOR HANGER,10,80,0.125,1
MOP PENDANT SHELL NECKLACE,0,1,0,0
MORE BUTTER METAL SIGN,3,45,0.0667,1
MOROCCAN BEATEN METAL DISH,1,8,0.125,1
MOROCCAN BEATEN METAL DISH LARGE,0,2,0,0
MOTHER'S KITCHEN SPOON REST,2,16,0.125,1
MOTORING TISSUE BOX,6,97,0.0619,1
MOUSE TOY WITH PINK T-SHIRT,3,48,0.0625,1
MOUSEY LONG LEGS SOFT TOY,0,5,0,0
MR ROBOT SOFT TOY,0,14,0,0
MRS ROBOT SOFT TOY,0,12,0,0
MULTI COLOUR SILVER T-LIGHT HOLDER,15,139,0.1079,1
MULTI HEARTS STICKERS,0,11,0,0
MULTICOLOUR 3D BALLS GARLAND,0,7,0,0
MULTICOLOUR CONFETTI IN TUBE,0,7,0,0
MULTICOLOUR HONEYCOMB FAN,2,29,0.069,1
MULTICOLOUR HONEYCOMB PAPER GARLAND,1,14,0.0714,1
MULTICOLOUR RABBIT EGG WARMER,0,2,0,0
MULTICOLOUR SPRING FLOWER MUG,0,21,0,0
MUM'S KITCHEN CLOCK,0,10,0,0
MURANO STYLE GLASS BRACELET GOLD,0,2,0,0
MUSICAL ZINC HEART DECORATION,13,109,0.1193,1
N0 SINGING METAL SIGN,4,52,0.0769,1
NAMASTE SWAGAT INCENSE,1,14,0.0714,1
NATURAL HANGING QUILTED HEARTS,1,32,0.0313,1
NATURAL SLATE CHALKBOARD LARGE,6,93,0.0645,1
NATURAL SLATE HEART CHALKBOARD,31,253,0.1225,1
NATURAL SLATE RECTANGLE CHALKBOARD,15,95,0.1579,1
NECKLACE+BRACELET PINK BUTTERFLY,0,7,0,0
NECKLACE+BRACELET SET BLUE BLOSSOM,0,1,0,0
NECKLACE+BRACELET SET BLUE HIBISCUS,0,16,0,0
NECKLACE+BRACELET SET FRUIT SALAD,0,12,0,0
NEW BAROQUE BLACK BOXES,0,2,0,0
NEW BAROQUE JEWELLERY BOX,1,16,0.0625,1
Next Day Carriage,6,56,0.1071,1
NINE DRAWER OFFICE TIDY,3,31,0.0968,1
NINJA RABBIT BLACK,1,10,0.1,1
NINJA RABBIT PINK,0,8,0,0
NOEL GARLAND PAINTED ZINC,4,75,0.0533,1
NOEL WOODEN BLOCK LETTERS,8,81,0.0988,1
NOVELTY BISCUITS CAKE STAND 3 TIER,6,48,0.125,1
NUMBER TILE COTTAGE GARDEN 1,0,5,0,0
NUMBER TILE COTTAGE GARDEN 2,0,2,0,0
NUMBER TILE COTTAGE GARDEN 3,0,1,0,0
NUMBER TILE COTTAGE GARDEN 5,0,1,0,0
NUMBER TILE VINTAGE FONT 1,0,2,0,0
NUMBER TILE VINTAGE FONT 2,0,2,0,0
NUMBER TILE VINTAGE FONT 3,0,8,0,0
NUMBER TILE VINTAGE FONT 5,0,3,0,0
NUMBER TILE VINTAGE FONT 6,0,4,0,0
NUMBER TILE VINTAGE FONT 7,0,2,0,0
NUMBER TILE VINTAGE FONT 8,0,2,0,0
NUMBER TILE VINTAGE FONT 9,0,2,0,0
NUMBER TILE VINTAGE FONT No,0,2,0,0
NURSERY A;B;C PAINTED LETTERS,3,32,0.0938,1
NURSE'S BAG SOFT TOY,0,2,0,0
OCEAN SCENT CANDLE IN JEWELLED BOX,1,16,0.0625,1
OFFICE MUG WARMER BLACK+SILVER,4,43,0.093,1
OFFICE MUG WARMER CHOC+BLUE,11,52,0.2115,1
OFFICE MUG WARMER PINK,2,34,0.0588,1
OFFICE MUG WARMER POLKADOT,3,48,0.0625,1
OPEN CLOSED METAL SIGN,6,115,0.0522,1
OPIUM SCENTED VOTIVE CANDLE,0,3,0,0
ORANGE VOTIVE CANDLE,0,5,0,0
ORIENTAL RED CUSHION COVER,0,2,0,0
ORIGAMI JASMINE INCENSE/CANDLE SET,0,14,0,0
ORIGAMI LAVENDER INCENSE/CANDL SET,2,35,0.0571,1
ORIGAMI ROSE INCENSE/CANDLE SET,4,33,0.1212,1
ORIGAMI SANDLEWOOD INCENSE/CAND SET,5,36,0.1389,1
ORIGAMI VANILLA INCENSE/CANDLE SET,1,12,0.0833,1
OVAL MINI PORTRAIT FRAME,5,71,0.0704,1
OVAL WALL MIRROR DIAMANTE,0,20,0,0
OVEN MITT APPLES DESIGN,7,75,0.0933,1
OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,29,0.0345,1
OWL DOORSTOP,2,40,0.05,1
OYSTER TRINKET BOX,0,7,0,0
PACK 3 BOXES BIRD PANETTONE,1,24,0.0417,1
PACK 3 BOXES BIRD PANNETONE,2,28,0.0714,1
PACK 3 BOXES CHRISTMAS PANETTONE,2,22,0.0909,1
PACK 3 BOXES CHRISTMAS PANNETONE,2,34,0.0588,1
PACK 3 IRON ON DOG PATCHES,0,4,0,0
PACK 6 HEART/ICE-CREAM PATCHES,0,7,0,0
PACK OF 12 50'S CHRISTMAS TISSUES,13,158,0.0823,1
PACK OF 12 BLUE PAISLEY TISSUES,2,47,0.0426,1
PACK OF 12 CHRISTMAS FUN CARDS,0,2,0,0
PACK OF 12 CIRCUS PARADE TISSUES,2,27,0.0741,1
PACK OF 12 COLOURED PENCILS,7,74,0.0946,1
PACK OF 12 DOLLY GIRL TISSUES,7,61,0.1148,1
PACK OF 12 HEARTS DESIGN TISSUES,10,87,0.1149,1
PACK OF 12 LONDON TISSUES,13,120,0.1083,1
PACK OF 12 PAISLEY PARK TISSUES,4,73,0.0548,1
PACK OF 12 PINK PAISLEY TISSUES,3,44,0.0682,1
PACK OF 12 PINK POLKADOT TISSUES,4,40,0.1,1
PACK OF 12 RED APPLE TISSUES,1,43,0.0233,1
PACK OF 12 RED RETROSPOT TISSUES,5,69,0.0725,1
PACK OF 12 SKULL TISSUES,4,53,0.0755,1
PACK OF 12 SPACEBOY TISSUES,4,71,0.0563,1
PACK OF 12 STICKY BUNNIES,0,14,0,0
PACK OF 12 SUKI TISSUES,9,92,0.0978,1
PACK OF 12 TRADITIONAL CRAYONS,9,121,0.0744,1
PACK OF 12 VINTAGE CHRISTMAS TISSUE,9,120,0.075,1
PACK OF 12 VINTAGE DOILY TISSUES,3,73,0.0411,1
PACK OF 12 VINTAGE LEAF TISSUES,3,41,0.0732,1
PACK OF 12 WOODLAND TISSUES,5,58,0.0862,1
PACK OF 20 NAPKINS PANTRY DESIGN,5,113,0.0442,1
PACK OF 20 NAPKINS RED APPLES,4,62,0.0645,1
PACK OF 20 SKULL PAPER NAPKINS,6,48,0.125,1
PACK OF 20 SPACEBOY NAPKINS,2,36,0.0556,1
PACK OF 6 BIRDY GIFT TAGS,7,138,0.0507,1
PACK OF 6 COCKTAIL PARASOL STRAWS,0,55,0,0
PACK OF 6 HANDBAG GIFT BOXES,0,24,0,0
PACK OF 6 LARGE FRUIT STRAWS,2,52,0.0385,1
PACK OF 6 PANETTONE GIFT BOXES,0,30,0,0
PACK OF 6 PANNETONE GIFT BOXES,2,31,0.0645,1
PACK OF 6 SANDCASTLE FLAGS ASSORTED,1,17,0.0588,1
PACK OF 6 SKULL PAPER CUPS,5,41,0.122,1
PACK OF 6 SKULL PAPER PLATES,5,39,0.1282,1
PACK OF 6 SMALL FRUIT STRAWS,1,54,0.0185,1
PACK OF 6 SWEETIE GIFT BOXES,3,43,0.0698,1
PACK OF 60 DINOSAUR CAKE CASES,14,133,0.1053,1
PACK OF 60 MUSHROOM CAKE CASES,7,88,0.0795,1
PACK OF 60 PINK PAISLEY CAKE CASES,21,166,0.1265,1
PACK OF 60 SPACEBOY CAKE CASES,8,121,0.0661,1
PACK OF 72 RETROSPOT CAKE CASES,30,251,0.1195,1
PACK OF 72 SKULL CAKE CASES,12,125,0.096,1
PACK OF SIX LED TEA LIGHTS,25,173,0.1445,1
PACK/12 BLUE FOLKART CARDS,0,8,0,0
PACKING CHARGE,2,10,0.2,1
PAINT YOUR OWN CANVAS SET,7,82,0.0854,1
PAINT YOUR OWN EGGS IN CRATE,0,8,0,0
PAINTED LIGHTBULB STAR+ MOON,0,5,0,0
PAINTED METAL HEART WITH HOLLY BELL,1,24,0.0417,1
PAINTED METAL PEARS ASSORTED,11,127,0.0866,1
PAINTED METAL STAR WITH HOLLY BELLS,2,54,0.037,1
PAINTED PINK RABBIT,0,8,0,0
PAINTED YELLOW WOODEN DAISY,0,6,0,0
PAIR OF ENAMEL BUTTERFLY HAIRCLIP,0,4,0,0
PAIR OF PINK FLOWER CLUSTER SLIDE,0,2,0,0
PAIR PADDED HANGERS PINK CHECK,0,4,0,0
PAISLEY PARK CARD,1,41,0.0244,1
PAISLEY PATTERN STICKERS,0,7,0,0
PANDA AND BUNNIES STICKER SHEET,2,23,0.087,1
PANTRY 3 HOOK ROLLING PIN HANGER,3,42,0.0714,1
PANTRY APPLE CORER,1,39,0.0256,1
PANTRY CHOPPING BOARD,3,40,0.075,1
PANTRY HOOK BALLOON WHISK,1,31,0.0323,1
PANTRY HOOK SPATULA,1,30,0.0333,1
PANTRY HOOK TEA STRAINER,1,32,0.0313,1
PANTRY KITCHEN THERMOMETER,2,38,0.0526,1
PANTRY MAGNETIC SHOPPING LIST,26,216,0.1204,1
PANTRY PASTRY BRUSH,2,47,0.0426,1
PANTRY ROLLING PIN,3,50,0.06,1
PANTRY SCRUBBING BRUSH,1,53,0.0189,1
PANTRY WASHING UP BRUSH,8,87,0.092,1
PAPER BUNTING PAISLEY PARK,3,54,0.0556,1
PAPER BUNTING RETROSPOT,4,88,0.0455,1
PAPER BUNTING VINTAGE PAISLEY,2,35,0.0571,1
PAPER BUNTING VINTAGE PARTY,2,75,0.0267,1
PAPER BUNTING WHITE LACE,4,60,0.0667,1
PAPER CHAIN KIT 50'S CHRISTMAS,145,656,0.221,1
PAPER CHAIN KIT EMPIRE,0,4,0,0
PAPER CHAIN KIT LONDON,0,29,0,0
PAPER CHAIN KIT RETROSPOT,21,165,0.1273,1
PAPER CHAIN KIT SKULLS,0,10,0,0
PAPER CHAIN KIT VINTAGE CHRISTMAS,91,484,0.188,1
PAPER CRAFT ; LITTLE BIRDIE,1,1,1,1
PAPER LANTERN 5 POINT SEQUIN STAR,0,4,0,0
PAPER LANTERN 5 POINT STAR MOON,1,10,0.1,1
PAPER LANTERN 7 POINT SNOW STAR,1,19,0.0526,1
PAPER LANTERN 9 POINT DELUXE STAR,1,21,0.0476,1
PAPER LANTERN 9 POINT HOLLY STAR L,0,7,0,0
PAPER LANTERN 9 POINT HOLLY STAR S,0,6,0,0
PAPER LANTERN 9 POINT SNOW STAR,3,49,0.0612,1
PAPER POCKET TRAVELING FAN,0,28,0,0
PAPERWEIGHT CHILDHOOD MEMORIES,2,18,0.1111,1
PAPERWEIGHT HOME SWEET HOME,0,9,0,0
PAPERWEIGHT KINGS CHOICE,0,9,0,0
PAPERWEIGHT SAVE THE PLANET,0,18,0,0
PAPERWEIGHT VINTAGE COLLAGE,2,25,0.08,1
PAPERWEIGHT VINTAGE PAISLEY,1,16,0.0625,1
PARISIENNE CURIO CABINET,7,58,0.1207,1
PARISIENNE JEWELLERY DRAWER,17,92,0.1848,1
PARISIENNE KEY CABINET,8,75,0.1067,1
PARISIENNE SEWING BOX,11,56,0.1964,1
PARLOUR CERAMIC WALL HOOK,3,33,0.0909,1
PARTY BUNTING,20,183,0.1093,1
PARTY CHARMS 50 PIECES,3,57,0.0526,1
PARTY CONE CHRISTMAS DECORATION,2,43,0.0465,1
PARTY CONES CANDY ASSORTED,0,7,0,0
PARTY CONES CANDY DECORATION,0,5,0,0
PARTY INVITES BALLOON GIRL,0,16,0,0
PARTY INVITES DINOSAURS,0,21,0,0
PARTY INVITES FOOTBALL,0,16,0,0
PARTY INVITES JAZZ HEARTS,1,23,0.0435,1
PARTY INVITES SPACEMAN,0,18,0,0
PARTY INVITES WOODLAND,0,25,0,0
PARTY METAL SIGN,19,127,0.1496,1
PARTY PIZZA DISH BLUE POLKADOT,1,15,0.0667,1
PARTY PIZZA DISH GREEN POLKADOT,1,16,0.0625,1
PARTY PIZZA DISH PINK POLKADOT,1,14,0.0714,1
PARTY PIZZA DISH RED RETROSPOT,2,21,0.0952,1
PARTY TIME DESIGN FLANNEL,1,7,0.1429,1
PARTY TIME PENCIL ERASERS,3,43,0.0698,1
PASTEL COLOUR HONEYCOMB FAN,3,29,0.1034,1
PEACE WOODEN BLOCK LETTERS,7,67,0.1045,1
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,3,29,0.1034,1
PEARLISED IVORY HEART LARGE,5,59,0.0847,1
PEARLISED IVORY HEART SMALL,5,40,0.125,1
PEG BAG APPLES DESIGN,3,45,0.0667,1
PENCIL CASE LIFE IS BEAUTIFUL,3,34,0.0882,1
PENNY FARTHING BIRTHDAY CARD,3,51,0.0588,1
PENS ASSORTED FUNKY JEWELED,4,29,0.1379,1
PENS ASSORTED FUNNY FACE,7,89,0.0787,1
PENS ASSORTED SPACEBALL,4,64,0.0625,1
PERIWINKLE T-LIGHT HOLDER,0,2,0,0
PET MUG; GOLDFISH,0,4,0,0
PETIT TRAY CHIC,10,82,0.122,1
PHARMACIE FIRST AID TIN,1,23,0.0435,1
PHOTO CLIP LINE,1,14,0.0714,1
PHOTO CUBE,5,71,0.0704,1
PHOTO FRAME 3 CLASSIC HANGING,5,60,0.0833,1
PHOTO FRAME CORNICE,10,119,0.084,1
PHOTO FRAME LINEN AND LACE LARGE,0,26,0,0
PHOTO FRAME LINEN AND LACE SMALL,2,39,0.0513,1
PICNIC BASKET WICKER LARGE,0,7,0,0
PICNIC BOXES SET OF 3 RETROSPOT,2,39,0.0513,1
PICTURE DOMINOES,12,126,0.0952,1
PICTURE FRAME WOOD TRIPLE PORTRAIT,6,65,0.0923,1
PIECE OF CAMO STATIONERY SET,0,5,0,0
PIG KEYRING WITH LIGHT & SOUND,1,38,0.0263,1
PIGGY BANK RETROSPOT,4,56,0.0714,1
PIN CUSHION BABUSHKA BLUE,0,8,0,0
PIN CUSHION BABUSHKA PINK,3,28,0.1071,1
PIN CUSHION BABUSHKA RED,1,22,0.0455,1
PING MICROWAVE APRON,1,38,0.0263,1
PING! MICROWAVE PLATE,3,18,0.1667,1
PINK & WHITE ROSEBUD RING,1,3,0.3333,1
PINK AND BLACK STRING CURTAIN,0,4,0,0
PINK AND WHITE CHRISTMAS TREE 120CM,1,23,0.0435,1
PINK BABY BUNTING,2,34,0.0588,1
PINK BITTY LIGHT CHAIN,0,9,0,0
PINK BLUE FELT CRAFT TRINKET BOX,23,177,0.1299,1
PINK BOUDICCA LARGE BRACELET,0,2,0,0
PINK BUNNY EASTER EGG BASKET,0,2,0,0
PINK BUTTERFLY WASHBAG,0,3,0,0
PINK CANDYSTUFT ARTIFICIAL FLOWER,0,7,0,0
PINK CAT BOWL,2,29,0.069,1
PINK CLEAR GLASS CANDLE PLATE,0,2,0,0
PINK CREAM FELT CRAFT TRINKET BOX,21,210,0.1,1
PINK CRYSTAL SKULL PHONE CHARM,0,3,0,0
PINK DIAMANTE PEN IN GIFT BOX,5,13,0.3846,1
PINK DINER WALL CLOCK,3,50,0.06,1
PINK DISCO HANDBAG,1,14,0.0714,1
PINK DOG BOWL,2,32,0.0625,1
PINK DOUGHNUT TRINKET POT,9,72,0.125,1
PINK DRAWER KNOB ACRYLIC EDWARDIAN,3,32,0.0938,1
PINK FAIRY CAKE CHILDRENS APRON,18,169,0.1065,1
PINK FAIRY CAKE CUSHION COVER,0,7,0,0
PINK FLORAL FELTCRAFT SHOULDER BAG,12,100,0.12,1
PINK FLOWER CROCHET FOOD COVER,2,13,0.1538,1
PINK FLOWER FABRIC PONY,1,4,0.25,1
PINK FLOWERS RABBIT EASTER,0,2,0,0
PINK FLY SWAT,0,6,0,0
PINK GAUZE BUTTERFLY LAMPSHADE,0,1,0,0
PINK GLASS CANDLEHOLDER,0,8,0,0
PINK GOOSE FEATHER TREE 60CM,2,11,0.1818,1
PINK GREEN EMBROIDERY COSMETIC BAG,0,2,0,0
PINK HANGING HEART T-LIGHT HOLDER,11,82,0.1341,1
PINK HAPPY BIRTHDAY BUNTING,3,68,0.0441,1
PINK HAWAIIAN PICNIC HAMPER FOR 2,0,2,0,0
PINK HEART CONFETTI IN TUBE,0,6,0,0
PINK HEART SHAPE EGG FRYING PAN,0,13,0,0
PINK HEART SHAPE LOVE BUCKET,1,31,0.0323,1
PINK HEARTS LIGHT CHAIN,0,8,0,0
PINK HEARTS PAPER GARLAND,0,4,0,0
PINK HONEYCOMB PAPER FAN,3,22,0.1364,1
PINK HORSE SOCK PUPPET KIT,0,25,0,0
PINK HYDRANGEA ART FLOWER,0,1,0,0
PINK JEWELLED MIRROR TRINKET TRAY,0,8,0,0
PINK JEWELLED PHOTO FRAME,1,12,0.0833,1
PINK LOVE BIRD CANDLE,0,7,0,0
PINK LOVE HEART SHAPE CUP,1,22,0.0455,1
PINK METAL CHICKEN HEART,0,4,0,0
PINK MURANO TWIST NECKLACE,0,3,0,0
PINK NEW BAROQUECANDLESTICK CANDLE,0,5,0,0
PINK OVAL SHAPE TRINKET BOX,0,5,0,0
PINK OWL SOFT TOY,5,65,0.0769,1
